epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,747.094,0.7834,0.4645,1.12446,0.97488,0.91773,0.96446,0.64803,1.18028,0.51854,1.51951,0.0006668,0.0006668,0.0006668
103,754.358,0.76502,0.45028,1.11817,0.96687,0.93243,0.96401,0.66021,1.15355,0.49478,1.49073,0.0006536,0.0006536,0.0006536
104,761.642,0.77687,0.46665,1.12177,0.95984,0.94595,0.96521,0.6737,1.13307,0.49356,1.47633,0.0006404,0.0006404,0.0006404
105,768.939,0.78365,0.47378,1.12758,0.94765,0.94932,0.97391,0.66676,1.15982,0.49292,1.49762,0.0006272,0.0006272,0.0006272
106,776.266,0.78648,0.47039,1.12265,0.97434,0.93243,0.96915,0.6685,1.1415,0.49251,1.45684,0.000614,0.000614,0.000614
107,783.593,0.77771,0.45565,1.11537,0.96371,0.93243,0.96322,0.66056,1.1723,0.50195,1.51234,0.0006008,0.0006008,0.0006008
108,790.834,0.75698,0.4419,1.11079,0.97215,0.94595,0.96732,0.66393,1.17002,0.49846,1.51362,0.0005876,0.0005876,0.0005876
109,797.989,0.76067,0.46188,1.10735,0.98125,0.93243,0.97349,0.6683,1.14027,0.4898,1.48001,0.0005744,0.0005744,0.0005744
110,805.257,0.7794,0.45591,1.11844,0.95523,0.93715,0.96259,0.6605,1.15502,0.51721,1.50318,0.0005612,0.0005612,0.0005612
111,812.554,0.74968,0.44503,1.10253,0.96567,0.9527,0.97175,0.67145,1.14026,0.49428,1.47902,0.000548,0.000548,0.000548
112,819.831,0.74529,0.44311,1.10747,0.97957,0.9223,0.97249,0.65946,1.17131,0.50021,1.49557,0.0005348,0.0005348,0.0005348
113,827.101,0.74198,0.4359,1.0991,0.97545,0.93965,0.97393,0.66827,1.15841,0.46934,1.49803,0.0005216,0.0005216,0.0005216
114,834.38,0.7383,0.44062,1.09904,0.97175,0.92969,0.97514,0.67468,1.14463,0.47191,1.47691,0.0005084,0.0005084,0.0005084
115,841.662,0.74131,0.42717,1.09346,0.97859,0.91554,0.9713,0.67884,1.15062,0.48978,1.50614,0.0004952,0.0004952,0.0004952
116,848.918,0.72428,0.4332,1.09735,0.98854,0.92905,0.97279,0.6787,1.15219,0.48371,1.51566,0.000482,0.000482,0.000482
117,856.11,0.73086,0.43025,1.09675,0.98196,0.91963,0.97229,0.68402,1.14573,0.5073,1.48589,0.0004688,0.0004688,0.0004688
118,863.468,0.72318,0.42156,1.09438,0.96228,0.94805,0.9738,0.68289,1.13327,0.50047,1.48884,0.0004556,0.0004556,0.0004556
119,870.698,0.72727,0.42699,1.08432,0.98675,0.9223,0.97567,0.68334,1.13476,0.50795,1.48649,0.0004424,0.0004424,0.0004424
120,878.018,0.70581,0.42098,1.09019,0.97174,0.92946,0.97409,0.67182,1.16358,0.48712,1.52531,0.0004292,0.0004292,0.0004292
121,885.188,0.72085,0.42589,1.09272,0.94652,0.95946,0.97357,0.66912,1.15737,0.48926,1.52658,0.000416,0.000416,0.000416
122,892.453,0.71954,0.42261,1.08864,0.98198,0.92068,0.96797,0.66017,1.16756,0.48926,1.51296,0.0004028,0.0004028,0.0004028
123,899.71,0.69258,0.40703,1.07277,0.98822,0.91892,0.96784,0.67562,1.1227,0.48891,1.4722,0.0003896,0.0003896,0.0003896
124,907,0.70547,0.41417,1.08493,0.95205,0.94595,0.96912,0.67455,1.15048,0.47951,1.50987,0.0003764,0.0003764,0.0003764
125,914.189,0.68096,0.39399,1.06235,0.97139,0.9176,0.97469,0.68438,1.13611,0.48492,1.49021,0.0003632,0.0003632,0.0003632
126,921.474,0.71562,0.42411,1.08559,0.97423,0.91892,0.97249,0.67635,1.13653,0.48404,1.50924,0.00035,0.00035,0.00035
127,928.803,0.69448,0.40686,1.06823,0.94986,0.94257,0.97131,0.68392,1.12898,0.4774,1.50481,0.0003368,0.0003368,0.0003368
128,936.092,0.68072,0.40072,1.07339,0.97092,0.92905,0.97158,0.68018,1.151,0.46615,1.50834,0.0003236,0.0003236,0.0003236
129,943.408,0.68436,0.40039,1.06397,0.965,0.94595,0.96895,0.67349,1.14501,0.47039,1.51031,0.0003104,0.0003104,0.0003104
130,950.706,0.67319,0.39663,1.0617,0.95561,0.94544,0.96905,0.67619,1.15158,0.49643,1.52508,0.0002972,0.0002972,0.0002972
131,958.016,0.66597,0.39066,1.06688,0.97353,0.93243,0.96751,0.67665,1.13144,0.48128,1.51696,0.000284,0.000284,0.000284
132,965.24,0.66891,0.40133,1.0646,0.95404,0.93919,0.97111,0.67764,1.12018,0.48538,1.49612,0.0002708,0.0002708,0.0002708
133,972.484,0.67872,0.40478,1.07192,0.9765,0.92905,0.97175,0.68515,1.14269,0.47431,1.53044,0.0002576,0.0002576,0.0002576
134,979.776,0.66931,0.40288,1.06443,0.97539,0.9374,0.97347,0.68065,1.14999,0.46983,1.54055,0.0002444,0.0002444,0.0002444
135,987.041,0.65752,0.38878,1.05345,0.97973,0.93581,0.97355,0.6825,1.14663,0.48972,1.53547,0.0002312,0.0002312,0.0002312
136,994.314,0.65213,0.37992,1.0561,0.97867,0.93008,0.97019,0.67311,1.15732,0.46658,1.54499,0.000218,0.000218,0.000218
137,1001.6,0.65495,0.3859,1.04725,0.97223,0.93581,0.96871,0.67412,1.16474,0.47323,1.56663,0.0002048,0.0002048,0.0002048
138,1008.86,0.65563,0.38758,1.05492,0.9763,0.92568,0.9724,0.67549,1.15396,0.47036,1.53423,0.0001916,0.0001916,0.0001916
139,1016.16,0.62676,0.37615,1.04451,0.95877,0.9527,0.97362,0.67462,1.16845,0.48348,1.5609,0.0001784,0.0001784,0.0001784
140,1023.43,0.64249,0.37697,1.05266,0.96716,0.94257,0.9713,0.67498,1.1623,0.46948,1.55155,0.0001652,0.0001652,0.0001652
141,1032.79,0.55059,0.32272,1.01615,0.97491,0.94932,0.96883,0.66318,1.18127,0.47057,1.5838,0.000152,0.000152,0.000152
142,1040,0.49037,0.27715,0.98011,0.96266,0.9582,0.9693,0.65781,1.16829,0.4641,1.56009,0.0001388,0.0001388,0.0001388
143,1047.25,0.50165,0.2765,0.9833,0.95387,0.94932,0.97508,0.67088,1.14639,0.47144,1.53246,0.0001256,0.0001256,0.0001256
144,1054.56,0.47561,0.2713,0.96585,0.96144,0.93919,0.97296,0.6756,1.15426,0.47513,1.55207,0.0001124,0.0001124,0.0001124
145,1061.78,0.48776,0.26713,0.98539,0.96187,0.93736,0.97315,0.67917,1.15636,0.47312,1.56003,9.92e-05,9.92e-05,9.92e-05
146,1069.09,0.48276,0.26928,0.97712,0.95268,0.95214,0.97449,0.68547,1.15901,0.46611,1.57136,8.6e-05,8.6e-05,8.6e-05
147,1076.42,0.45162,0.25612,0.95022,0.95184,0.9527,0.97257,0.68472,1.16023,0.47042,1.57558,7.28e-05,7.28e-05,7.28e-05
148,1083.69,0.45947,0.25874,0.96567,0.95897,0.94753,0.97307,0.68391,1.16282,0.46702,1.57585,5.96e-05,5.96e-05,5.96e-05
149,1090.97,0.44628,0.25342,0.96138,0.96151,0.94595,0.97267,0.68208,1.16392,0.46967,1.57272,4.64e-05,4.64e-05,4.64e-05
150,1098.18,0.46671,0.26292,0.97047,0.96198,0.94032,0.97159,0.68058,1.15558,0.473,1.56227,3.32e-05,3.32e-05,3.32e-05
